Master Category,Date,Description,Amount
Shopping,9/23/2007,Sou Best Buy #1Sou Best Bsan Francisco 3327 34.71,34.71
Auto/Transportation,9/24/2007,Union 76 00250142 San Francisco Ca 36.16,36.16
Food/Drink,9/25/2007,Una Mas Redwood City Ca 270740007834785 8.16,8.16
Food/Drink,9/26/2007,Peets Coffee/Tea 10390 San Francisco Ca 3.90,3.90
Groceries,9/26/2007,Nob Hill #628 Nob Hill #Redwood City Ca 3327 66.18,66.18
Personal Care,9/26/2007,24 Hour Fitness #705 Carlsbad Ca 599.87,599.87
Food/Drink,9/27/2007,Roadside Bbq San Francisco Ca 8.61,8.61
Auto/Transportation,9/28/2007,Arco Paypoint Arco Paypobelmont Ca 3327 5.27,5.27
Food/Drink,9/28/2007,Una Mas Redwood City Ca 273740011565349 8.49,8.49
Auto/Transportation,9/28/2007,Arco Paypoint Arco Paypobelmont Ca 3327 28.54,28.54
Shopping,9/29/2007,Tom'S Toys San Luis Obis Ca 14.00,14.00
Food/Drink,9/29/2007,Central Coast Pizza Co Atascadero Ca 22.90,22.90
Shopping,9/29/2007,Mervyns -San Lmervyns -San Luis Obisca 3327 60.31,60.31
Shopping,9/29/2007,Cns Epress Llc Cns Epresssan Luis Obisca 3327 243.49,243.49
Auto/Transportation,9/30/2007,Union 76 46044897 Atasacadero Ca 4.37,4.37
Auto/Transportation,9/30/2007,Union 76 46044897 Atasacadero Ca 31.99,31.99
Food/Drink,10/1/2007,Subway Belmont Store # Belmont Ca 8.65,8.65
Auto/Transportation,10/1/2007,Union 76 10028231 San Carlos Ca 32.26,32.26
Personal Care,10/1/2007,Blue Cross Of Californ 800-333-0912Ca 124.00,124.00
Food/Drink,10/2/2007,Burger King #10442 Q07 San Carlos Ca 4.11,4.11
Food/Drink,10/2/2007,Una Mas Redwood City Ca 277740007827804 8.16,8.16
Groceries,10/2/2007,Safeway Store Safeway Sbelmont Ca 3327,41.48
Mortgage / Rent,10/2/2007,Online Transfer To Blakely D Ref #Ibemjrbsb3 Custom Management Chkng Rent October 832.00,832.00
Food/Drink,10/3/2007,Ferrignos Old County D Belmont Ca 8.81,8.81
Auto/Transportation,10/4/2007,Shell Oil 27441747907 San Francisco Ca 37.00,37.00
Cash/ATM,10/4/2007,ATM Withdrawal -10/04 0158B 1045 Ralston Ave Belmont Ca 3327 40.00,40.00
Shopping,10/4/2007,Gen*Journeys Shoes 888-324-6356Tn 74.04,74.04
Auto/Transportation,10/5/2007,Shell Service Sshell Servsan Francisco 3327 5.53,5.53
Food/Drink,10/5/2007,Subway Belmont Store # Belmont Ca 8.65,8.65
Food/Drink,10/5/2007,Foreign Cinema San Francisco Ca 20.00,20.00
Food/Drink,10/5/2007,Foreign Cinema San Francisco Ca 31.00,31.00
Shopping,10/6/2007,Gen*Journeys Shoes 888-324-6356Tn 5.10,5.10
Food/Drink,10/6/2007,Cafe Sevilla Of Rivers Riverside Ca 16.50,16.50
Other Spending,10/6/2007,Clicknprint Tickets 888-695-0888Tx 40.00,40.00
Shopping,10/6/2007,Gen*Journeys Shoes 888-324-6356Tn 59.99,59.99
Entertainment,10/7/2007,The Royal Falconer Riverside Ca 15.00,15.00
Other Spending,10/11/2007,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1.00
Other Spending,10/11/2007,Monthly Service Fee 5.00,5.00
Cash/ATM,10/11/2007,Withdrawal Made In A Branch/Store 100.00,100.00
Cash/ATM,10/11/2007,Withdrawal Made In A Branch/Store 100.00,100.00
Groceries,10/12/2007,7-Eleven 7-Eleven San Francisco 5306,36.22
Cash/ATM,10/14/2007,ATM Withdrawal -10/14 80891503 2522 Mission Stmedjool Insan Francisco 5306 62.95,62.95
Other Spending,10/16/2007,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Auto/Transportation,10/16/2007,Fifth And Mission Yerb San Francisco Ca 9.00,9.00
Entertainment,10/16/2007,Thirstybear Brewing Co San Francisco Ca 28.79,28.79
Auto/Transportation,10/16/2007,Olympian #233 Olympian #San Francisco 5306 35.00,35.00
Shopping,10/16/2007,Gap Usa Gap Usa San Mateo Ca 3335,38.97
Cash/ATM,10/16/2007,ATM Withdrawal -10/16 9923E 833 Mission St San Francisco Ca 3335 40.00,40.00
Groceries,10/17/2007,Safeway Store Safeway Sbelmont Ca 3335,19.60
Cash/ATM,10/17/2007,ATM Withdrawal -10/17 2315L San Francisco Airport San Francisco Ca 3335 80.00,80.00
Entertainment,10/18/2007,Maui Wowi Cm 315 Dulles Va 4.08,4.08
Food/Drink,10/18/2007,Tidewater Landing Dulles Va 9.83,9.83
Food/Drink,10/18/2007,Hms Host -Sfo Airpt San Francisco Ca 13.27,13.27
Entertainment,10/18/2007,R Bar New York Ny 294740018509556 16.00,16.00
Food/Drink,10/18/2007,Marshall Stack New York Ny 16.00,16.00
Food/Drink,10/19/2007,Key West Diner New York Ny 44.50,44.50
Shopping,10/19/2007,Apple Store #R095 New York Ny 54.13,54.13
Food/Drink,10/19/2007,The Triple Crown New York Ny 103.17,103.17
Food/Drink,10/20/2007,Union Pool Brooklyn Ny 295740011384263 7.00,7.00
Airlines / Transportation,10/20/2007,Sou Mta Vendingsou Mta Ve212-Metrocardny 3335 10.00,10.00
Food/Drink,10/20/2007,Miro Cafe New York Ny 295740010398638 13.80,13.80
Food/Drink,10/20/2007,Gristedes #5 Gristedes New York Ny 3335 14.38,14.38
Entertainment,10/20/2007,Top Of The Rock Llc 212-6982000Ny 18.97,18.97
Shopping,10/20/2007,Ltb Jeans Fairview Nj 294740012620372 72.00,72.00
Food/Drink,10/21/2007,Jack In The Bo00005587 San Francisco Ca 7.14,7.14
Airlines / Transportation,10/21/2007,Njt Ny Penn Stanjt Ny Pennew York Ny 3335 15.00,15.00
Auto/Transportation,10/21/2007,Central Parking 10001 San Francisco Ca 58.00,58.00
Food/Drink,10/22/2007,Peets Coffee/Tea 10390 San Francisco Ca 1.75,1.75
Auto/Transportation,10/22/2007,Holly Gas & Dieholly Gas San Carlos Ca 3335 3.18,3.18
Food/Drink,10/22/2007,Baja Fresh 10278 San Carlos Ca 8.87,8.87
Groceries,10/22/2007,Delano'S Iga Madelano'S Isan Francisco 3335 36.91,36.91
Food/Drink,10/23/2007,Starbucks Usa 00054205 Redwood City Ca 1.75,1.75
Auto/Transportation,10/23/2007,Arco Paypoint Arco Paypobelmont Ca 3335 37.05,37.05
Cash/ATM,10/23/2007,ATM Withdrawal -10/23 0158A 1045 Ralston Ave Belmont Ca 3335 60.00,60.00
Food/Drink,10/24/2007,Sushi Monster Belmont Ca 299740007218816 23.89,23.89
Shopping,10/25/2007,Amazon.Com Amzn.Com/Bill Wa 36.64,36.64
Food/Drink,10/26/2007,Totos Pizzeria Of Belm Belmont Ca 9.47,9.47
Auto/Transportation,10/26/2007,Union 76 10034015 San Francisco Ca 15.06,15.06
Cash/ATM,10/26/2007,ATM Withdrawal -10/26 0064B 2595 Mission St San Francisco Ca 3335 100.00,100.00
Entertainment,10/27/2007,The Catalyst Nightclub Santa Cruz Ca 26.00,26.00
Entertainment,10/27/2007,The Catalyst Nightclub Santa Cruz Ca 33.00,33.00
Food/Drink,10/28/2007,Bills Place San Francisco Ca 304740005806513 18.45,18.45
Food/Drink,10/29/2007,Subway Belmont Store # Belmont Ca 8.65,8.65
Auto/Transportation,10/29/2007,Union 76 00416479 Redwood City Ca 37.88,37.88
Groceries,10/29/2007,Delano'S Iga Madelano'S Isan Francisco 3335 42.34,42.34
Food/Drink,10/30/2007,Thai Time Restaura 415-831-3663Ca 51.35,51.35
Health,10/31/2007,Walgreen Companwalgreen Csan Francisco 3335 16.92,16.92
Food/Drink,11/1/2007,Burger King #10442 Q07 San Carlos Ca 6.81,6.81
Food/Drink,11/1/2007,Butter San Francisco Ca 306740006440926 38.00,38.00
Auto/Transportation,11/1/2007,Union 76 10028231 San Carlos Ca 39.03,39.03
Food/Drink,11/2/2007,Nnt Pita'S Cafennt Pita'Ssan Francisco 3335 2.73,2.73
Shopping,11/2/2007,Sunglass Hut 60001617 San Mateo Ca 5.40,5.40
Groceries,11/2/2007,Nob Hill #628 Nob Hill #Redwood City Ca 3335 8.72,8.72
Entertainment,11/2/2007,Tickets* Sf Giant00 Of 800-3520212Ca 48.50,48.50
Cash/ATM,11/2/2007,ATM Withdrawal -11/02 1117J Redwood Shores Pkwy Redwood City Ca 3335 60.00,60.00
Shopping,11/2/2007,Watch Care 1 San Mateo Ca 308740020037879 69.95,69.95
Entertainment,11/3/2007,Momo'S San Francisco Ca 309740009708584 160.00,160.00
Food/Drink,11/4/2007,City Tavern San Francisco Ca 8.00,8.00
Cash/ATM,11/4/2007,ATM Withdrawal -11/04 0019B 3624 Geary Blvd San Francisco Ca 3335 40.00,40.00
Food/Drink,11/5/2007,Peets Coffee/Tea 10390 San Francisco Ca 1.75,1.75
Food/Drink,11/5/2007,Baja Fresh 10278 San Carlos Ca 9.24,9.24
Food/Drink,11/5/2007,Bills Place San Francisco Ca 312740006151982 28.43,28.43
Auto/Transportation,11/6/2007,Olympian #233 San Francisco Ca 39.64,39.64
Credit Card/Loan Payments,11/6/2007,Bill Pay Wells Fargo Educ On-Line,300.00
Food/Drink,11/7/2007,Starbucks Usa 00055848 San Francisco Ca 3.40,3.40
Food/Drink,11/7/2007,Una Mas Redwood City Ca 313740007830997 8.16,8.16
Groceries,11/7/2007,Nob Hill #628 Redwood City Ca 16.11,16.11
Cash/ATM,11/7/2007,ATM Withdrawal -11/07 1117J Redwood Shores Pkwy Redwood City Ca 3335 80.00,80.00
Groceries,11/7/2007,Coco 500 San Francisco Ca 313740007155660 102.46,102.46
Cash/ATM,11/8/2007,Withdrawal Made In A Branch/Store 750.00,750.00
Auto/Transportation,11/9/2007,Shell Oil 27441747907 San Francisco Ca 36.54,36.54
Other Spending,11/10/2007,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Entertainment,11/10/2007,Temple San Francisco Ca 317740007183477 19.00,19.00
Entertainment,11/10/2007,Temple San Francisco Ca 317740007183482 35.00,35.00
Cash/ATM,11/10/2007,Pier 23 Cafe San Francisco Ca 40.00,40.00
Cash/ATM,11/10/2007,ATM Withdrawal -11/10 Lk584569 540 Howard St. Temple Sa Francisco Ca 3335 103.00,103.00
Food/Drink,11/11/2007,Peets Coffee/Tea 10390 San Francisco Ca 1.60,1.60
Entertainment,11/11/2007,Temple San Francisco Ca 317740007183515 12.00,12.00
Food/Drink,11/12/2007,Baja Fresh 10278 San Carlos Ca 9.24,9.24
Other Spending,11/13/2007,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1.00
Other Spending,11/13/2007,Monthly Service Fee 5.00,5.00
Food/Drink,11/13/2007,Old County Deli Belmont Ca 10.06,10.06
Food/Drink,11/13/2007,Roadside Bbq San Francisco Ca 17.21,17.21
Cash/ATM,11/13/2007,Stevens Creek 7Stevens Crcupertino Ca 3335 39.90,39.90
Entertainment,11/13/2007,Mccarthys On Mission San Francisco Ca 43.16,43.16
Food/Drink,11/14/2007,Quiznos Subs #4120 Belmont Ca 9.18,9.18
Personal Care,11/14/2007,Supercuts Ca #8723 Belmont Ca 18.00,18.00
Shopping,11/15/2007,Sou The Sports Sou The Spsan Francisco 3335 27.12,27.12
Cash/ATM,11/15/2007,ATM Withdrawal -11/15 Cs3647 2062 Divasaderostar Ne San Francisco 3335 82.25,82.25
Other Spending,11/16/2007,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Food/Drink,11/16/2007,Una Mas Redwood City Ca 322740012125177 8.16,8.16
Airlines / Transportation,11/16/2007,Oakland Ar-Cnc10136208 Oakland Ca 17.00,17.00
Other Spending,11/17/2007,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Food/Drink,11/17/2007,Wunder Brewing Company San Francisco Ca 7.00,7.00
Food/Drink,11/17/2007,Noah'S Ny Bagels #2120 San Francisco Ca 7.76,7.76
Cash/ATM,11/17/2007,ATM Withdrawal -11/17 Lk394303 3160 -16Th St.Kilowatt San Francisco 3335 41.50,41.50
Auto/Transportation,11/17/2007,Union 76 10034015 San Francisco Ca 48.85,48.85
Food/Drink,11/18/2007,Bills Place San Francisco Ca 324740006384896 14.38,14.38
Food/Drink,11/19/2007,Sushi Monster Belmont Ca 325740007491584 20.00,20.00
Auto/Transportation,11/20/2007,Central Parking 0501 San Jose Ca 2.25,2.25
Groceries,11/20/2007,Nob Hill #628 Nob Hill #Redwood City Ca 3335 7.46,7.46
Auto/Transportation,11/20/2007,Shell Service Sshell Servsan Francisco 3335 7.67,7.67
Auto/Transportation,11/20/2007,Arco Paypoint Arco Paypobelmont Ca 3335 40.70,40.70
Bills/Utilities,11/20/2007,Bill Pay Comcast Cable Co On-Line,94.64
Auto/Transportation,11/21/2007,Shell Service Sshell Servatascadero Ca 3335 14.53,14.53
Other Spending,11/23/2007,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Entertainment,11/23/2007,Mothers Tavern San Luis Obis Ca 15.00,15.00
Food/Drink,11/23/2007,Downtown Brewing Co. San Luis Obis Ca 25.00,25.00
Cash/ATM,11/23/2007,ATM Withdrawal -11/23 Td233033 728 Higuera St Frog & Peasan Luis Obisca 3335 62.00,62.00
Other Spending,11/25/2007,A&M Petroleum A&M Petrolsan Francisco 3335 2.98,2.98
Auto/Transportation,11/26/2007,Shell Service Sshell Servsan Francisco 3335 3.78,3.78
Auto/Transportation,11/26/2007,Totos Pizzeria Of Belm Belmont Ca 8.66,8.66
Auto/Transportation,11/26/2007,Shell Oil 27441747907 San Francisco Ca 39.48,39.48
Food/Drink,11/26/2007,Lukas Taproom And Loun Oakland Ca 160.00,160.00
Airlines / Transportation,11/27/2007,Hms Host-Phx Airpt Q63 Phoenix Az 2.37,2.37
Entertainment,11/27/2007,Club Quarters In Houst Houston Tx 19.49,19.49
Other Spending,11/27/2007,Sfgov Parking Ticket P 415-5545785Ca 40.00,40.00
Shopping,11/27/2007,Bill Pay Macy'S (For All On-Line,79.38
Auto/Transportation,11/28/2007,Five Star Park00100107 Oakland Ca 44.00,44.00
Food/Drink,11/29/2007,Starbucks Usa 00055848 San Francisco Ca 3.40,3.40
Food/Drink,11/29/2007,Subway Belmont Store # Belmont Ca 7.24,7.24
Groceries,11/29/2007,Delano'S Iga Madelano'S Isan Francisco 3335 28.62,28.62
Groceries,11/29/2007,Thrifty Rent A Car Iah Houston Tx 167.54,167.54
Other Spending,11/30/2007,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Cash/ATM,11/30/2007,Nob Hill #628 Nob Hill #Redwood City Ca 3335 4.75,4.75
Food/Drink,11/30/2007,Una Mas Redwood City Ca 336740013044809 9.14,9.14
Cash/ATM,11/30/2007,ATM Withdrawal -11/30 Icad0077 *7Th And Clemenbank Of Amsan Francisco 63.00,63.00
Other Spending,12/1/2007,Bill Pay Service Fee On 12-01 6.95,6.95
Auto/Transportation,12/1/2007,Union 76 10032571 San Francisco Ca 40.03,40.03
Auto/Transportation,12/1/2007,Beverages & Morbeverages San Francisc Ca 3335 57.75,57.75
Groceries,12/1/2007,Amazon.Com Amzn.Com/Bill Wa 62.47,62.47
Food/Drink,12/2/2007,Round Table Pizza #600 San Francisco Ca 24.44,24.44
Food/Drink,12/4/2007,Una Mas Redwood City Ca 340740008216722 8.49,8.49
Cash/ATM,12/4/2007,ATM Withdrawal -12/04 1117J Redwood Shores Pkwy Redwood City Ca 3335 60.00,60.00
Entertainment,12/5/2007,Hennessy'S Winehennessy'Ssan Francis Ca 3335 2.00,2.00
Auto/Transportation,12/5/2007,Usa Petroleum #3717 Walnut Creek Ca 37.26,37.26
Groceries,12/5/2007,Safeway Store Safeway Shayward Ca 3335,47.06
Food/Drink,12/6/2007,Baja Fresh 10278 San Carlos Ca 9.03,9.03
Other Spending,12/7/2007,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Cash/ATM,12/7/2007,Nob Hill #628 Nob Hill #Redwood City Ca 3335 7.07,7.07
Auto/Transportation,12/7/2007,Shell Oil 27441747907 San Francisco Ca 37.30,37.30
Cash/ATM,12/7/2007,ATM Withdrawal -12/07 Cs25173 2389 Mission Ststar Ne San Francisco 3335 62.50,62.50
Food/Drink,12/9/2007,Noah'S Ny Bagels #2120 San Francisco Ca 6.57,6.57
Food/Drink,12/10/2007,The Patio Cafe Redwood City Ca 3.25,3.25
Food/Drink,12/10/2007,Togos Baskin Robbins B Belmont Ca 9.07,9.07
Bills/Utilities,12/10/2007,Bill Pay Comcast Cable Co On-Line,87.33
Groceries,12/10/2007,Safeway Store Safeway Sbelmont Ca 3335,94.32
Credit Card/Loan Payments,12/10/2007,Bill Pay Wells Fargo Educ On-Line 0443139183 On 12-10 300.00,300.00
Food/Drink,12/11/2007,Subway Belmont Store # Belmont Ca 5.73,5.73
Auto/Transportation,12/11/2007,Arco Paypoint Arco Paypobelmont Ca 3335 38.37,38.37
Other Spending,12/12/2007,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1.00
Other Spending,12/12/2007,Monthly Service Fee 5.00,5.00
Cash/ATM,12/12/2007,Cassidy'S Bar San Francisco Ca 11.00,11.00
Food/Drink,12/12/2007,Roadside Bbq San Francisco Ca 15.10,15.10
Food/Drink,12/12/2007,Cassidy'S Bar San Francisco Ca 40.00,40.00
Food/Drink,12/13/2007,Peets Coffee/Tea 10390 San Francisco Ca 1.75,1.75
Food/Drink,12/13/2007,Una Mas Redwood City Ca 350740021395781 8.16,8.16
Auto/Transportation,12/14/2007,Union 76 10028231 San Carlos Ca 39.65,39.65
Cash/ATM,12/14/2007,ATM Withdrawal -12/14 0158C 1045 Ralston Ave Belmont Ca 3335 80.00,80.00
Health,12/15/2007,Walgreen Companwalgreen Csan Francisco 3335 20.79,20.79
Food/Drink,12/17/2007,Jamba Juice 142 San Francisco Ca 4.10,4.10
Cash/ATM,12/17/2007,ATM Withdrawal -12/17 0158C 1045 Ralston Ave Belmont Ca 3335 40.00,40.00
Groceries,12/18/2007,Nob Hill #628 Nob Hill #Redwood City Ca 3335 18.69,18.69
Groceries,12/18/2007,Vann'S.Com 800-769-5668Mt 269.98,269.98
Auto/Transportation,12/19/2007,Shell Service Sshell Servsan Francisco 3335 4.53,4.53
Auto/Transportation,12/19/2007,Keller Market Keller Maroakland Ca 3335,15.17
Auto/Transportation,12/19/2007,Shell Oil 27441747907 San Francisco Ca 32.91,32.91
Auto/Transportation,12/19/2007,Ticketweb 800-965-4827Ca 354740007802860 45.00,45.00
Shopping,12/19/2007,Amazon.Com Amzn.Com/Bill Wa 57.97,57.97
Food/Drink,12/20/2007,Peets Coffee/Tea 10390 San Francisco Ca 1.75,1.75
Food/Drink,12/20/2007,The Patio Cafe Redwood City Ca 4.25,4.25
Food/Drink,12/20/2007,Una Mas Redwood City Ca 357740023316709 8.76,8.76
Cash/ATM,12/20/2007,ATM Withdrawal -12/20 0064A 2595 Mission St San Francisco Ca 3335 60.00,60.00
Food/Drink,12/21/2007,Hdos #128 San Meteco Ca 357740015144546 11.00,11.00
Shopping,12/21/2007,Gap Usa Gap Usa San Mateo Ca 3335,14.06
Auto/Transportation,12/21/2007,Shell Oil 27441747907 San Francisco Ca 35.20,35.20
Cash/ATM,12/21/2007,"ATM Withdrawal -12/21 0019A 3624 Geary Blvd, San Francisco, Ca 3335 140.00",140.00
Other Spending,12/23/2007,University Of Salf Salford Gb 16.88,16.88
Other Spending,12/24/2007,Foreign Curr Conv Fee 358740015912761,0.51
Food/Drink,12/24/2007,Billingsley Firestone San Luis Obis Ca 17.22,17.22
Auto/Transportation,12/24/2007,Shell Oil 20468701345 San Luis Obis Ca 43.08,43.08
Cash/ATM,12/24/2007,Sou Best Buy #3Sou Best Bsanluis Obispca 3335 271.51,271.51
Auto/Transportation,12/26/2007,Olympian Pacheco San Francisco Ca 43.25,43.25
Groceries,12/27/2007,Nob Hill #628 Nob Hill #Redwood City Ca 3335 7.07,7.07
Groceries,12/27/2007,Nob Hill #628 Nob Hill #Redwood City Ca 3335 28.40,28.40
Shopping,12/27/2007,Cns Ikea East Pcns Ikea Eeast Palo Altca 3335 215.41,215.41
Personal Care,12/28/2007,Supercuts Ca #8723 Belmont Ca 18.00,18.00
Entertainment,12/28/2007,Nna Gallery San Francisco Ca 42.00,42.00
Cash/ATM,12/29/2007,ATM Withdrawal -12/29 0021E 2055 Chestnut St San Francisco Ca 3335 60.00,60.00
Shopping,12/29/2007,Ticketmix 415-2676103Ca 365740004858257 72.78,72.78
Shopping,12/29/2007,Sou Gamestop #5Sou Gamestsan Francisco 3335 97.64,97.64
Groceries,12/31/2007,Delano'S Iga Madelano'S Isan Francisco 3335 100.41,100.41
Other Spending,1/1/2008,Bill Pay Service Fee On 01/01 6.95,6.95
Other Spending,1/2/2008,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Food/Drink,1/2/2008,Bills Place San Francisco Ca 006840015337447 9.77,9.77
,1/3/2008,Mel'S Drive-In #5 San Francisco Ca 16.75,16.75
,1/3/2008,Cheap Pete'S Frm Fctry San Francisco Ca 100.82,100.82
,1/4/2008,Mel'S Drive-In #5 San Francisco Ca 20.26,20.26
Cash/ATM,1/4/2008,ATM Withdrawal 01/04 0019D 3624 Geary Blvd San Francisco Ca 240.00,240.00
Groceries,1/6/2008,Delano'S Iga Madelano'S Isan Francisco 16.71,16.71
,1/7/2008,Office Depot Ofoffice Depsan Carlos Ca 8.11,8.11
Groceries,1/7/2008,Delano'S Iga Madelano'S Isan Francisco 30.52,30.52
,1/7/2008,Standard Plbg & Hardwa San Francisco Ca 38.26,38.26
Cash/ATM,1/8/2008,ATM Withdrawal 01/08 0045C 725 Irving St San Francisco Ca 40.00,40.00
Auto/Transportation,1/8/2008,Union 76 10028231 San Carlos Ca 43.04,43.04
Credit Card/Loan Payments,1/8/2008,Bill Pay Wells Fargo Educ Recurring 0443139183 On 01/08 300.00,300.00
Groceries,1/9/2008,Nob Hill #628 Nob Hill #Redwood City Ca 7.46,7.46
Shopping,1/9/2008,Paypal *Matt 402-935-7733Ca 50.00,50.00
Food/Drink,1/10/2008,Subway Belmont Subway Belbelmont Ca 6.98,6.98
Shopping,1/10/2008,The Sports Basement San Francisco Ca 88.97,88.97
Other Spending,1/11/2008,Monthly Point-Of-Sale (Pos) Purchase Fee 1.00,1.00
Other Spending,1/11/2008,Monthly Service Fee 5.00,5.00
Food/Drink,1/11/2008,Sushi Monster Belmont Ca 014840010936661 18.10,18.10
Shopping,1/11/2008,The Sports Basement San Francisco Ca 37.98,37.98
Auto/Transportation,1/11/2008,Arco Paypoint Arco Paypobelmont Ca 38.90,38.90
Auto/Transportation,1/11/2008,Arco Paypoint Arco Paypofairfield Ca 51.40,51.40
,1/12/2008,Sugar Bowl Ticket Sale Norden Ca 60.00,60.00
,1/12/2008,Sugar Bowl Retail Norden Ca 60.05,60.05
Auto/Transportation,1/13/2008,7-Eleven 7-Eleven Olympic Valleca,11.68
,1/13/2008,Squaw Valley Ticket Sa Olympic Valle Ca 73.00,73.00
Food/Drink,1/14/2008,Baja Fresh 10278 San Carlos Ca 8.76,8.76
Shopping,1/14/2008,Paypal *Macheistllc 402-935-7733Nh 49.00,49.00
Groceries,1/15/2008,Tigers Liquors Tigers Liqsan Francisco 6.99,6.99
Food/Drink,1/15/2008,Subway Belmont Store # Belmont Ca 11.47,11.47
Food/Drink,1/15/2008,Bills Place San Francisco Ca 018840004347961 14.38,14.38
,1/16/2008,Totos Pizzeria Of Belm Belmont Ca 7.04,7.04
Auto/Transportation,1/16/2008,Arco Paypoint Arco Paypobelmont Ca 41.00,41.00
Bills/Utilities,1/16/2008,Bill Pay Comcast Cable Co On-Line,87.33
Food/Drink,1/17/2008,Starbucks Usa 00055848 San Francisco Ca 3.40,3.40
Food/Drink,1/17/2008,The Patio Cafe Redwood City Ca 9.49,9.49
Cash/ATM,1/17/2008,ATM Withdrawal 01/17 80891642 2254 Clement Stcigarette San Francisco 62.00,62.00
Other Spending,1/18/2008,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Groceries,1/18/2008,Safeway Store Safeway Sbelmont Ca,22.52
,1/19/2008,Big John'S Markbig John'Shealdsburg Ca 8.97,8.97
Cash/ATM,1/19/2008,ATM Withdrawal 01/19 P76140 1964 Hyde Streesearchlighsan Francisco 82.00,82.00
Food/Drink,1/21/2008,Una Mas Redwood City Ca 023840007366885 9.14,9.14
Groceries,1/21/2008,Nob Hill #628 Nob Hill #Redwood City Ca 12.97,12.97
Auto/Transportation,1/21/2008,Union 76 10028231 San Carlos Ca 37.12,37.12
Cash/ATM,1/21/2008,ATM Withdrawal 01/21 1117J Redwood Shores Pkwy Redwood City Ca 120.00,120.00
Other Spending,1/22/2008,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
Shopping,1/22/2008,"Advance Computer Sourc 516-7418001Ny 1,793.99","$1,793.99"
Food/Drink,1/23/2008,Subway Belmont Store # Belmont Ca 8.65,8.65
Shopping,1/24/2008,Paypal *Macrumors 402-935-7733Ca 25.00,25.00
,1/24/2008,Elgato 415-391/0310Ca 025840007179784 117.43,117.43
Auto/Transportation,1/25/2008,Union 76 00362806 San Francisco Ca 35.49,35.49
Shopping,1/25/2008,Paypal *Neweggcom 402-935-7733Ca 62.19,62.19
,1/26/2008,Valleytavern Sanfrancisco Ca 27.00,27.00
Cash/ATM,1/26/2008,ATM Withdrawal 01/26 Icad0962 *Noe Valley Bank Of Amsan Francisco 63.00,63.00
,1/26/2008,Containerstorescontainerssan Francisco 83.32,83.32
Other Spending,1/28/2008,Non-Wells Fargo ATM Transaction Fee 2.00,2.00
,1/28/2008,Sou Best Buy #1Sou Best Bsan Franciscica 20.59,20.59
Auto/Transportation,1/29/2008,Shell Oil 27441747907 San Francisco Ca 3.78,3.78
Food/Drink,1/29/2008,Sushi Monster Belmont Ca 031840007053904 19.00,19.00
Auto/Transportation,1/29/2008,Shell Oil 27441747907 San Francisco Ca 42.59,42.59
Food/Drink,1/30/2008,Subway Belmont Store # Belmont Ca 7.80,7.80
Auto/Transportation,1/30/2008,Union 76 10045839 San Francisco Ca 43.15,43.15
Food/Drink,1/31/2008,The Patio Cafe Redwood City Ca 4.50,4.50
Food/Drink,1/31/2008,Pluto'S 1 Marina Q23 San Francisco Ca 14.92,14.92
Groceries,1/31/2008,Nob Hill #628 Nob Hill #Redwood City Ca 47.07,47.07
Shopping,1/31/2008,The Sports Basement San Francisco Ca 61.57,61.57
Other Spending,2/1/2008,Bill Pay Service Fee On 02/01 6.95,6.95
Auto/Transportation,2/1/2008,Chevron/Shawn Cchevron/Shdavis Ca 8.30,8.30
Groceries,2/1/2008,Safeway Store Safeway Sbelmont Ca,20.52
Food/Drink,2/2/2008,South Tahoe Bottle Sho South Lake Ta Ca 10.01,10.01
,2/2/2008,Kirkwood Sports Kirkwood Ca 22.04,22.04
,2/2/2008,Carrows 949 S. Lake Tahoe Ca 27.54,27.54
Food/Drink,2/2/2008,South Tahoe Bottle Sho South Lake Ta Ca 34.37,34.37
,2/2/2008,Kirkwood Mountain Reso Kirkwood Ca 69.00,69.00
Auto/Transportation,2/3/2008,Valero Nut Treevalero Nutvacaville Ca 5.73,5.73
Food/Drink,2/3/2008,Mcdonald'S F13109 South Lake Ta Ca 9.36,9.36
Food/Drink,2/5/2008,Starbucks Usa 00055848 San Francisco Ca 3.50,3.50
Food/Drink,2/5/2008,Baja Fresh 10278 San Carlos Ca 9.24,9.24
Auto/Transportation,2/5/2008,Union 76 10028231 San Carlos Ca 39.05,39.05
Food/Drink,2/6/2008,The Patio Cafe Redwood City Ca 9.46,9.46
Personal Care,2/6/2008,Supercuts Ca #8723 Belmont Ca 17.00,17.00
Cash/ATM,2/6/2008,ATM Withdrawal 02/06 1117J Redwood Shores Pkwy Redwood City Ca 60.00,60.00
