Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount,
"Entertainment","Music","10/05/2012"," ","APL APPLE ITUNES S","CHECK CRD PURCHASE 10/04 APL*APPLE ITUNES S      866-712-7753  CA 434256XXXXXX3671 162277745542609                               ?MCC=5735","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$3.99",
"Entertainment","Music","09/04/2012"," ","APL APPLE ITUNES S","CHECK CRD PURCHASE 09/03 APL*APPLE ITUNES S      866-712-7753  CA 434256XXXXXX3671 002246547707355                               ?MCC=5735","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$9.94",
"Entertainment","Music","08/07/2012"," ","APL APPLE ITUNES S","CHECK CRD PURCHASE 08/06 APL*APPLE ITUNES S      866-712-7753  CA 434256XXXXXX3671 282218539138426                               ?MCC=5735","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$3.98",
"Entertainment","Music","07/30/2012"," ","APL APPLE ITUNES S","CHECK CRD PURCHASE 07/28 APL*APPLE ITUNES S      866-712-7753  CA 434256XXXXXX3671 282210149379058                               ?MCC=5735","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$0.99",
"Entertainment","Music","07/16/2012"," ","APL APPLE ITUNES S","CHECK CRD PURCHASE 07/14 APL*APPLE ITUNES S      866-712-7753  CA 434256XXXXXX3671 282196225521198                               ?MCC=5735","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$1.98",
"Entertainment","Music","07/02/2012"," ","APL APPLE ITUNES S","CHECK CRD PURCHASE 07/02 APL*APPLE ITUNES S      866-712-7753  CA 434256XXXXXX3671 162183633768765                               ?MCC=5735","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$5.98",
"Entertainment","Music","07/02/2012"," ","APL APPLE ITUNES S","CHECK CRD PURCHASE 06/29 APL*APPLE ITUNES S      866-712-7753  CA 434256XXXXXX3671 082180130531906                               ?MCC=5735","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$15.98",
"Entertainment","Music","06/20/2012"," ","APL APPLE ITUNES S","CHECK CRD PURCHASE 06/19 APL*APPLE ITUNES S      866-712-7753  CA 434256XXXXXX3671 082171187527328                               ?MCC=5735","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$2.99",
"Entertainment","Music","06/13/2012"," ","APL APPLE ITUNES STORE","CHECK CRD PURCHASE 06/12 APL*APPLE ITUNES STORE  866-712-7753  CA 434256XXXXXX3671 165240004175959                               ?MCC=5735 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$9.97",
"Entertainment","Music","06/04/2012"," ","APL APPLE ITUNES STORE","CHECK CRD PURCHASE 06/04 APL*APPLE ITUNES STORE  866-712-7753  CA 434256XXXXXX3671 156240011562394                               ?MCC=5735 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$14.97",
"Entertainment","Music","05/31/2012"," ","APL APPLE ITUNES STORE","CHECK CRD PURCHASE 05/30 APL*APPLE ITUNES STORE  866-712-7753  CA 434256XXXXXX3271 152240005810183                               ?MCC=5735 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3271","$4.99",
"Entertainment","Music","05/18/2012"," ","APL APPLE ITUNES STORE","CHECK CRD PURCHASE 05/17 APL*APPLE ITUNES STORE  866-712-7753  CA 434256XXXXXX3271 139240005599531                               ?MCC=5735 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3271","$1.98",
"Entertainment","Music","04/24/2012"," ","APL APPLE ITUNES STORE","CHECK CRD PURCHASE 04/23 APL*APPLE ITUNES STORE  866-712-7753  CA 434256XXXXXX3271 115240006269436                               ?MCC=5735 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3271","$1.99",
"Entertainment","Music","04/23/2012"," ","APL APPLE ITUNES STORE","CHECK CRD PURCHASE 04/20 APL*APPLE ITUNES STORE  866-712-7753  CA 434256XXXXXX3271 113240012102319                               ?MCC=5735 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3271","$0.99",
"Entertainment","Music","04/13/2012"," ","APL APPLE ITUNES STORE","CHECK CRD PURCHASE 04/12 APL*APPLE ITUNES STORE  866-712-7753  CA 434256XXXXXX3271 104240004760775                               ?MCC=5735 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3271","$0.99",
"Entertainment","Music","03/30/2012"," ","APL APPLE ITUNES STORE","CHECK CRD PURCHASE 03/29 APL*APPLE ITUNES STORE  866-712-7753  CA 434256XXXXXX3271 090240003357299                               ?MCC=5735 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3271","$0.99",
"Entertainment","Music","03/26/2012"," ","APL APPLE ITUNES STORE","CHECK CRD PURCHASE 03/24 APL*APPLE ITUNES STORE  866-712-7753  CA 434256XXXXXX3271 085240006148440                               ?MCC=5735 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3271","$0.99",
"Entertainment","Music","03/15/2012"," ","APL APPLE ITUNES STORE","CHECK CRD PURCHASE 03/15 APL*APPLE ITUNES STORE  866-712-7753  CA 434256XXXXXX3271 075240009508119                               ?MCC=5735 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3271","$24.99",
"Entertainment","Music","02/15/2012"," ","APL APPLE ITUNES STORE","CHECK CRD PURCHASE 02/14 APL*APPLE ITUNES STORE  866-712-7753  CA 434256XXXXXX3271 046240006563697                               ?MCC=5735 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3271","$1.99",
"Entertainment","Music","02/09/2012"," ","APL APPLE ITUNES STORE","CHECK CRD PURCHASE 02/08 APL*APPLE ITUNES STORE  866-712-7753  CA 434256XXXXXX3271 040240006113526                               ?MCC=5735 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3271","$4.98",
"Entertainment","Music","01/17/2012"," ","AMAZON DIGITAL SVCS","CHECK CRD PURCHASE 01/14 Amazon Digital Svcs     866-216-1072  WA 434256XXXXXX3271 015240011672264                               ?MCC=5735 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3271","$8.99",
"Entertainment","Music","01/17/2012"," ","AMAZON DIGITAL SVCS","CHECK CRD PURCHASE 01/14 Amazon Digital Svcs     866-216-1072  WA 434256XXXXXX3271 015240011668714                               ?MCC=5735 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3271","$8.99",
"Entertainment","Music","01/04/2012"," ","APL APPLE ITUNES STORE","CHECK CRD PURCHASE 01/03 APL*APPLE ITUNES STORE  866-712-7753  CA 434256XXXXXX3271 004240003445717                               ?MCC=5735 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3271","$4.99",
"Entertainment","Recreation/Fitness/Clubs","09/20/2012"," ","24HOUR FITNESS USA","CHECK CRD PURCHASE 09/19 24HOUR FITNESS USA      800-432-6348  CA 434256XXXXXX3671 282263036053830                               ?MCC=7997","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$49.00",
"Entertainment","Other Entertainment","03/25/2013"," ","TRUETT HURST WINER","CHECK CRD PURCHASE 03/24 TRUETT HURST WINER      HEALDSBURG    CA 434256XXXXXX4992 163083759569127                               ?MCC=7991","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$69.28",
"Entertainment","Other Entertainment","10/01/2012"," ","WILLIAMSON WINES","CHECK CRD PURCHASE 09/29 WILLIAMSON WINES        HEALDSBURG    CA 434256XXXXXX3671 162273843925784                               ?MCC=7991","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$162.49",
"Entertainment","Other Entertainment","03/22/2012"," ","DAVE & BUSTERS","CHECK CRD PURCHASE 03/20 DAVE & BUSTERS 10 POWE  ONTARIOA      CA 434256XXXXXX3671 082240007072671                               ?MCC=7994 01","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$27.00",
"Food/Drink","Bars/Alcohol","03/26/2013"," ","J VINEYARD & WINER","CHECK CRD PURCHASE 03/24 J VINEYARD & WINER      HEALDSBURG    CA 434256XXXXXX4992 163084004467222                               ?MCC=5921","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$79.89",
"Food/Drink","Bars/Alcohol","12/03/2012"," ","MURIO S BAR","CHECK CRD PURCHASE 12/02 MURIO`S BAR             SAN FRANCISCO CA 434256XXXXXX3671 002337233329640                               ?MCC=5813","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$10.00",
"Food/Drink","Bars/Alcohol","12/03/2012"," ","MURIO S BAR","CHECK CRD PURCHASE 12/02 MURIO`S BAR             SAN FRANCISCO CA 434256XXXXXX3671 162337259078730                               ?MCC=5813","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$13.00",
"Food/Drink","Bars/Alcohol","07/30/2012"," ","THE INDEPENDENT","CHECK CRD PURCHASE 07/28 THE INDEPENDENT         SAN FRANCISCO CA 434256XXXXXX3671 082211097761835                               ?MCC=5813","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$25.00",
"Food/Drink","Bars/Alcohol","07/27/2012"," ","THE INDEPENDENT","CHECK CRD PURCHASE 07/26 THE INDEPENDENT         SAN FRANCISCO CA 434256XXXXXX3671 082209026646837                               ?MCC=5813","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$200.00",
"Food/Drink","Bars/Alcohol","06/11/2012"," ","BEVERAGES & MOR","POS PURCHASE -      BEVERAGES & MOR          SAN FRANCISC CA 3671 00462161818074814                          ?MCC=5921","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$156.57",
"Food/Drink","Bars/Alcohol","04/16/2012"," ","DILLONS IRISH PUB","CHECK CRD PURCHASE 04/13 DILLONS IRISH PUB       LOS ANGELES   CA 434256XXXXXX3671 106240009437603                               ?MCC=5813 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$31.15",
"Food/Drink","Bars/Alcohol","01/17/2012"," ","LAUREL F&B","CHECK CRD PURCHASE 01/15 LAUREL F&B              SAN FRANCISCO CA 434256XXXXXX3671 017240005073856                               ?MCC=5813 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$21.00",
"Food/Drink","Bars/Alcohol","01/03/2012"," ","FOURTH AVE PUB","CHECK CRD PURCHASE 12/30 FOURTH AVE PUB          BROOKLYN      NY 434256XXXXXX3671 002240019964781                               ?MCC=5813 90","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$18.00",
"Food/Drink","Fast Food","06/27/2013"," ","JIMMY JOHN'S","CHECK CRD PURCHASE 06/25 JIMMY JOHNS - 1489      SAN FRANCISCO CA 434256XXXXXX8245 283176728426119                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$9.00",
"Food/Drink","Fast Food","06/21/2013"," ","CHIPOTLE","CHECK CRD PURCHASE 06/20 CHIPOTLE 1857           SAN FRANCISCO CA 434256XXXXXX8245 283171710706208                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$8.59",
"Food/Drink","Fast Food","06/20/2013"," ","PASILLA","CHECK CRD PURCHASE 06/19 PASILLA INC.            SAN FRANCISCO CA 434256XXXXXX8245 283171098797647                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$8.16",
"Food/Drink","Fast Food","06/17/2013"," ","JIMMY JOHN'S","CHECK CRD PURCHASE 06/14 JIMMY JOHNS - 1489      SAN FRANCISCO CA 434256XXXXXX8245 003165724732395                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$6.50",
"Food/Drink","Fast Food","06/12/2013"," ","CHIPOTLE","CHECK CRD PURCHASE 06/11 CHIPOTLE 1857           SAN FRANCISCO CA 434256XXXXXX8245 003162718189276                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$7.12",
"Food/Drink","Fast Food","06/11/2013"," ","PASILLA","CHECK CRD PURCHASE 06/10 PASILLA INC.            SAN FRANCISCO CA 434256XXXXXX8245 003161707115268                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$10.06",
"Food/Drink","Fast Food","06/07/2013"," ","JIMMY JOHN'S","CHECK CRD PURCHASE 06/05 JIMMY JOHNS - 1489      SAN FRANCISCO CA 434256XXXXXX8245 283156712066622                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$8.00",
"Food/Drink","Fast Food","06/05/2013"," ","THE LITTLE CHIHUAH","CHECK CRD PURCHASE 06/04 THE LITTLE CHIHUAH      SAN FRANCISCO CA 434256XXXXXX8245 003155104987211                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$19.47",
"Food/Drink","Fast Food","05/30/2013"," ","PASILLA","CHECK CRD PURCHASE 05/29 PASILLA INC.            SAN FRANCISCO CA 434256XXXXXX8245 083149716930113                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$8.97",
"Food/Drink","Fast Food","05/29/2013"," ","CHIPOTLE","CHECK CRD PURCHASE 05/28 CHIPOTLE 1857           SAN FRANCISCO CA 434256XXXXXX8245 283148709346385                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$7.12",
"Food/Drink","Fast Food","05/23/2013"," ","WORKING GIRLS CAFE","CHECK CRD PURCHASE 05/22 WORKING GIRLS CAFE      SAN FRANCISCO CA 434256XXXXXX8245 003142709931527                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$11.02",
"Food/Drink","Fast Food","05/22/2013"," ","PASILLA","CHECK CRD PURCHASE 05/21 PASILLA INC.            SAN FRANCISCO CA 434256XXXXXX8245 003141708683304                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$8.16",
"Food/Drink","Fast Food","05/20/2013"," ","JIMMY JOHN'S","CHECK CRD PURCHASE 05/17 JIMMY JOHNS - 1489      SAN FRANCISCO CA 434256XXXXXX8245 083137714065372                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$6.00",
"Food/Drink","Fast Food","05/20/2013"," ","THE LITTLE CHIHUAH","CHECK CRD PURCHASE 05/17 THE LITTLE CHIHUAH      SAN FRANCISCO CA 434256XXXXXX8245 003137137676929                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$21.48",
"Food/Drink","Fast Food","05/14/2013"," ","CHIPOTLE","CHECK CRD PURCHASE 05/13 CHIPOTLE 1857           SAN FRANCISCO CA 434256XXXXXX8245 003134053381061                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$7.12",
"Food/Drink","Fast Food","05/10/2013"," ","THE LITTLE CHIHUAH","CHECK CRD PURCHASE 05/09 THE LITTLE CHIHUAH      SAN FRANCISCO CA 434256XXXXXX8245 283129073208944                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$19.80",
"Food/Drink","Fast Food","05/08/2013"," ","PASILLA","CHECK CRD PURCHASE 05/07 PASILLA INC.            SAN FRANCISCO CA 434256XXXXXX8245 003127747752029                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$8.16",
"Food/Drink","Fast Food","05/07/2013"," ","CHIPOTLE","CHECK CRD PURCHASE 05/06 CHIPOTLE 1857           SAN FRANCISCO CA 434256XXXXXX8245 283127057851663                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$9.03",
"Food/Drink","Fast Food","05/03/2013"," ","JIMMY JOHN'S","CHECK CRD PURCHASE 05/01 JIMMY JOHNS - 1489      SAN FRANCISCO CA 434256XXXXXX8245 003121718899181                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$7.00",
"Food/Drink","Fast Food","05/01/2013"," ","CHIPOTLE","CHECK CRD PURCHASE 04/30 CHIPOTLE 1857           SAN FRANCISCO CA 434256XXXXXX8245 003121063117649                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$7.12",
"Food/Drink","Fast Food","04/30/2013"," ","MIYABI SUSHI","CHECK CRD PURCHASE 04/29 MIYABI SUSHI 2 GO       SAN FRANCISCO CA 434256XXXXXX8245 283119719575914                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$9.52",
"Food/Drink","Fast Food","04/29/2013"," ","MEMPHIS MINNIE'S B","CHECK CRD PURCHASE 04/27 MEMPHIS MINNIE'S B      SAN FRANCISCO CA 434256XXXXXX8245 083117759192673                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$11.91",
"Food/Drink","Fast Food","04/22/2013"," ","JAMBA JUICE","CHECK CRD PURCHASE 04/20 JAMBA JUICE #68         SAN FRANCISCO CA 434256XXXXXX8245 283110676194257                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$9.28",
"Food/Drink","Fast Food","04/22/2013"," ","YOPPI YOGURT","CHECK CRD PURCHASE 04/19 YOPPI YOGURT            SAN FRANCISCO CA 434256XXXXXX8245 163109724579954                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$5.22",
"Food/Drink","Fast Food","04/19/2013"," ","MCDONALD'S","CHECK CRD PURCHASE 04/18 MCDONALD'S F10162       SAN FRANCISCO CA 434256XXXXXX8245 283109099697502                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$10.08",
"Food/Drink","Fast Food","04/18/2013"," ","STARBUCKS","CHECK CRD PURCHASE 04/17 STARBUCKS #00628 S      San Francisco CA 434256XXXXXX8245 003107611393127                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$4.90",
"Food/Drink","Fast Food","04/17/2013"," ","CHIPOTLE","CHECK CRD PURCHASE 04/16 CHIPOTLE 1857           SAN FRANCISCO CA 434256XXXXXX8245 163106681138447                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$8.59",
"Food/Drink","Fast Food","04/15/2013"," ","JIMMY JOHN'S","CHECK CRD PURCHASE 04/12 JIMMY JOHNS - 1489      SAN FRANCISCO CA 434256XXXXXX4992 163102689643003                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$6.00",
"Food/Drink","Fast Food","04/15/2013"," ","KING FOOT SUBS","POS PURCHASE -      KING FOOT SUBS           SAN FRANCISCOCA 8245 00000000143402924                          ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-8245","$13.02",
"Food/Drink","Fast Food","04/11/2013"," ","JIMMY JOHN'S","CHECK CRD PURCHASE 04/09 JIMMY JOHNS - 1489      SAN FRANCISCO CA 434256XXXXXX4992 163099695771469                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$7.00",
"Food/Drink","Fast Food","04/03/2013"," ","PASILLA","CHECK CRD PURCHASE 04/02 PASILLA INC.            SAN FRANCISCO CA 434256XXXXXX4992 083092704157551                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$7.88",
"Food/Drink","Fast Food","04/01/2013"," ","JIMMY JOHN'S","CHECK CRD PURCHASE 03/29 JIMMY JOHNS - 1489      SAN FRANCISCO CA 434256XXXXXX4992 163088715904058                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$6.00",
"Food/Drink","Fast Food","03/28/2013"," ","CHIPOTLE","CHECK CRD PURCHASE 03/26 CHIPOTLE 1857           SAN FRANCISCO CA 434256XXXXXX4992 283085688977528                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$8.59",
"Food/Drink","Fast Food","03/25/2013"," ","KING FOOT SUBS","POS PURCHASE -      KING FOOT SUBS           SAN FRANCISCOCA 4992 00000000253174045                          ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$13.02",
"Food/Drink","Fast Food","03/25/2013"," ","SHORTY GOLDSTEINS","CHECK CRD PURCHASE 03/22 SHORTY GOLDSTEINS       SAN FRANCISCO CA 434256XXXXXX4992 003081688751344                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$13.05",
"Food/Drink","Fast Food","03/22/2013"," ","IN-N-OUT BURGER","CHECK CRD PURCHASE 03/20 IN-N-OUT BURGER #2      SAN CARLOS    CA 434256XXXXXX4992 163079659928097                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$5.80",
"Food/Drink","Fast Food","03/18/2013"," ","STARBUCKS","CHECK CRD PURCHASE 03/15 STARBUCKS #00628 S      San Francisco CA 434256XXXXXX4992 083074567502922                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$4.20",
"Food/Drink","Fast Food","03/18/2013"," ","THE LITTLE CHIHUAH","CHECK CRD PURCHASE 03/15 THE LITTLE CHIHUAH      SAN FRANCISCO CA 434256XXXXXX4992 003074089661999                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$18.49",
"Food/Drink","Fast Food","03/07/2013"," ","CHIPOTLE","CHECK CRD PURCHASE 03/06 CHIPOTLE 1857           SAN FRANCISCO CA 434256XXXXXX4992 163065721124324                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$8.59",
"Food/Drink","Fast Food","03/05/2013"," ","THE LITTLE CHIHUAH","CHECK CRD PURCHASE 03/04 THE LITTLE CHIHUAH      SAN FRANCISCO CA 434256XXXXXX4992 003062153745908                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$21.70",
"Food/Drink","Fast Food","03/04/2013"," ","PASILLA","CHECK CRD PURCHASE 03/01 PASILLA INC.            SAN FRANCISCO CA 434256XXXXXX4992 083060739295510                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$7.88",
"Food/Drink","Fast Food","02/27/2013"," ","STARBUCKS","CHECK CRD PURCHASE 02/26 STARBUCKS #00628 S      San Francisco CA 434256XXXXXX4992 003057634764762                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$3.45",
"Food/Drink","Fast Food","02/25/2013"," ","KING FOOT SUBS","POS PURCHASE -      KING FOOT SUBS           SAN FRANCISCOCA 4992 00000000141212124                          ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$11.66",
"Food/Drink","Fast Food","02/25/2013"," ","THE LITTLE CHIHUAH","CHECK CRD PURCHASE 02/22 THE LITTLE CHIHUAH      SAN FRANCISCO CA 434256XXXXXX4992 163053196664917                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$19.47",
"Food/Drink","Fast Food","02/19/2013"," ","CHIPOTLE","CHECK CRD PURCHASE 02/16 CHIPOTLE 1857           SAN FRANCISCO CA 434256XXXXXX4992 083047796408552                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$21.70",
"Food/Drink","Fast Food","02/19/2013"," ","JIMMY JOHN'S","CHECK CRD PURCHASE 02/15 JIMMY JOHNS - 1489      SAN FRANCISCO CA 434256XXXXXX4992 283046730850345                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$7.00",
"Food/Drink","Fast Food","02/11/2013"," ","MCDONALD'S","CHECK CRD PURCHASE 02/07 MCDONALD'S F3171        SAN FRANCISCO CA 434256XXXXXX4992 083038726439738                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$10.31",
"Food/Drink","Fast Food","02/04/2013"," ","IN-N-OUT BURGER","CHECK CRD PURCHASE 02/01 IN-N-OUT BURGER 00      MOUNTAIN VIEW CA 434256XXXXXX4992 163033018646172                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$6.90",
"Food/Drink","Fast Food","01/31/2013"," ","JIMMY JOHN'S","CHECK CRD PURCHASE 01/29 JIMMY JOHNS - 1489      SAN FRANCISCO CA 434256XXXXXX4992 283029731298895                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$7.50",
"Food/Drink","Fast Food","01/29/2013"," ","CHIPOTLE","CHECK CRD PURCHASE 01/28 CHIPOTLE 1857           SAN FRANCISCO CA 434256XXXXXX4992 283028732425553                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$8.59",
"Food/Drink","Fast Food","01/28/2013"," ","JIMMY JOHN'S","CHECK CRD PURCHASE 01/24 JIMMY JOHNS - 1489      SAN FRANCISCO CA 434256XXXXXX4992 083024718202138                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$7.00",
"Food/Drink","Fast Food","01/28/2013"," ","MCDONALD'S","CHECK CRD PURCHASE 01/25 MCDONALD'S F3171        SAN FRANCISCO CA 434256XXXXXX4992 163025721463043                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-4992","$9.77",
"Food/Drink","Fast Food","01/22/2013"," ","CHIPOTLE","CHECK CRD PURCHASE 01/21 CHIPOTLE 1857           SAN FRANCISCO CA 434256XXXXXX3671 163021733797385                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$8.59",
"Food/Drink","Fast Food","01/22/2013"," ","JIMMY JOHN'S","CHECK CRD PURCHASE 01/18 JIMMY JOHNS - 1489      SAN FRANCISCO CA 434256XXXXXX3671 163018735053637                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$8.00",
"Food/Drink","Fast Food","01/14/2013"," ","TACO BELL","CHECK CRD PURCHASE 01/11 TACO BELL 0   0019      SAN CARLOS    CA 434256XXXXXX3671 083011716557622                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$7.04",
"Food/Drink","Fast Food","01/07/2013"," ","CHIPOTLE","CHECK CRD PURCHASE 01/04 CHIPOTLE 1857           SAN FRANCISCO CA 434256XXXXXX3671 163004720918887                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$8.59",
"Food/Drink","Fast Food","01/07/2013"," ","KING FOOT SUBS","POS PURCHASE -      KING FOOT SUBS           SAN FRANCISCOCA 3671 00000000254885046                          ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$8.03",
"Food/Drink","Fast Food","01/07/2013"," ","STARBUCKS","CHECK CRD PURCHASE 01/04 STARBUCKS #00628 S      San Francisco CA 434256XXXXXX3671 003004590925272                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$1.95",
"Food/Drink","Fast Food","12/26/2012"," ","THE LITTLE CHIHUAH","CHECK CRD PURCHASE 12/24 THE LITTLE CHIHUAH      SAN FRANCISCO CA 434256XXXXXX3671 002356788479939                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$8.96",
"Food/Drink","Fast Food","12/24/2012"," ","IN-N-OUT BURGER","CHECK CRD PURCHASE 12/20 IN N OUT BURGER #2      SAN CARLOS    CA 434256XXXXXX3671 002355774929274                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$6.87",
"Food/Drink","Fast Food","12/21/2012"," ","JIMMY JOHN'S","CHECK CRD PURCHASE 12/19 JIMMY JOHNS - 1489      SAN FRANCISCO CA 434256XXXXXX3671 082354722087870                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$9.00",
"Food/Drink","Fast Food","12/19/2012"," ","JACK IN THE BOX","CHECK CRD PURCHASE 12/18 JACK IN THE BOX #3      DUNNIGAN      CA 434256XXXXXX3671 082353726499677                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$7.27",
"Food/Drink","Fast Food","12/19/2012"," ","STARBUCKS","CHECK CRD PURCHASE 12/18 STARBUCKS #09212 S      San Francisco CA 434256XXXXXX3671 162353538282020                               ?MCC=5814","Debit Card/ATM Card XXXX-XXXX-XXXX-3671","$4.90",
